winner,game_id,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
False,365140456,0,,,,1179,1164,-31.0,{},11887573,lithuanians,
True,365140456,1,,,,1210,1225,31.0,{},12395678,bulgarians,
False,365074920,0,,,,896,879,30.0,{},5876319,sicilians,
True,365074920,1,,,,866,883,-30.0,{},6279728,ethiopians,
True,365130446,0,,,,961,977,-1.0,{},3093005,lithuanians,
False,365130446,1,,,,962,946,1.0,{},4090511,vietnamese,
False,365158133,0,,,,1051,1036,-24.666666666666742,{},516454,georgians,
True,365158133,1,,,,1082,1096,24.666666666666742,{},3635970,aztecs,
False,365158133,0,,,,1051,1036,-24.666666666666742,{},1136763,romans,
True,365158133,1,,,,1041,1057,24.666666666666742,{},1075073,japanese,
False,365158133,0,,,,1027,1013,-24.666666666666742,{},1189220,cumans,
True,365158133,1,,,,1080,1094,24.666666666666742,{},1636111,chinese,
True,365036833,0,,,,989,1006,-18.0,{},19433966,vietnamese,
False,365036833,1,,,,1007,990,18.0,{},9520559,bulgarians,
True,365116393,0,,,,1067,1081,13.5,{},2254238,teutons,
False,365116393,1,,,,1035,1019,-13.5,{},12964756,chinese,
True,365116393,0,,,,1035,1051,13.5,{},1358269,mayans,
False,365116393,1,,,,1023,1008,-13.5,{},2741658,persians,
True,365116393,0,,,,1048,1063,13.5,{},2104001,georgians,
False,365116393,1,,,,1035,1019,-13.5,{},16920175,poles,
True,365116393,0,,,,1021,1037,13.5,{},415858,persians,
False,365116393,1,,,,1024,1009,-13.5,{},5079471,huns,
False,365124305,0,,,,643,628,-19.0,{},1919057,mongols,
True,365124305,1,,,,662,677,19.0,{},12066829,burgundians,
True,365122017,0,,,,383,402,-55.0,{},6388892,britons,
False,365122017,1,,,,438,419,55.0,{},2261639,bulgarians,
True,365123667,0,,,,976,990,41.75,{},15555738,vietnamese,
False,365123667,1,,,,919,906,-41.75,{},1360667,georgians,
True,365123667,0,,,,966,981,41.75,{},5673788,magyars,
False,365123667,1,,,,976,960,-41.75,{},21071028,byzantines,
True,365123667,0,,,,1000,1013,41.75,{},2680721,mongols,
False,365123667,1,,,,904,873,-41.75,{},9487212,franks,
True,365123667,0,,,,990,1004,41.75,{},15555664,franks,
False,365123667,1,,,,966,951,-41.75,{},2387585,ethiopians,
False,365100256,0,,,,1110,1094,-2.0,{},10860813,mayans,
True,365100256,1,,,,1112,1128,2.0,{},9644599,koreans,
False,365074766,0,,,,1146,1132,5.0,{},2794904,mongols,
True,365074766,1,,,,1173,1190,-5.0,{},15327386,mongols,
False,365074766,0,,,,1228,1210,5.0,{},17808762,magyars,
True,365074766,1,,,,1209,1224,-5.0,{},11624054,malians,
False,365074766,0,,,,1215,1198,5.0,{},1655620,huns,
True,365074766,1,,,,1226,1241,-5.0,{},4903270,italians,
False,365074766,0,,,,1204,1187,5.0,{},6112291,cumans,
True,365074766,1,,,,1165,1183,-5.0,{},3241475,huns,
False,365189431,0,,,,988,969,26.0,{},15640085,khmer,
