map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
arena,2025-01-13 20:45:11+00:00,0 days 00:00:15.300000,0 days 00:00:09,365155992,664.5,2,663.0,666.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-12 23:53:31+00:00,0 days 00:49:29.900000,0 days 00:29:07,364987134,439.5,2,395.0,484.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-14 20:14:21+00:00,0 days 00:32:55.400000,0 days 00:19:22,365349581,1152.5,4,1143.0,1162.0,False,team_random_map,False,125283,7,random_map,normal,dark
arabia,2025-01-16 14:20:42+00:00,0 days 01:02:09.800000,0 days 00:36:34,365679659,843.0,2,833.0,853.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-12 12:30:14+00:00,0 days 00:51:10.200000,0 days 00:30:06,364829014,1075.0,2,1081.0,1069.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-14 01:10:03+00:00,0 days 00:48:52.500000,0 days 00:28:45,365200462,1038.0,2,1029.0,1047.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-16 23:20:00+00:00,0 days 00:36:56.800000,0 days 00:21:44,365777210,891.5,2,879.0,904.0,False,random_map,False,125283,6,random_map,normal,dark
black_forest,2025-01-16 14:04:37+00:00,0 days 00:35:40.300000,0 days 00:20:59,365677150,1340.875,8,1367.0,1314.75,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-13 10:02:05+00:00,0 days 00:06:14,0 days 00:03:40,365055625,1754.0,2,1743.0,1765.0,False,random_map,False,125283,6,random_map,normal,dark
gold_rush,2025-01-12 09:22:05+00:00,0 days 00:40:29.300000,0 days 00:23:49,364800804,1230.125,8,1229.0,1231.25,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-16 05:19:37+00:00,0 days 00:54:15.500000,0 days 00:31:55,365628336,839.5,2,838.0,841.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-12 15:22:57+00:00,0 days 00:42:04.500000,0 days 00:24:45,364867041,1726.0,2,1765.0,1687.0,False,random_map,False,125283,6,random_map,normal,dark
land_nomad,2025-01-15 04:10:52+00:00,0 days 00:42:40.200000,0 days 00:25:06,365425377,1325.0,8,1352.0,1298.0,False,team_random_map,False,125283,9,random_map,normal,dark
hideout,2025-01-14 16:11:58+00:00,0 days 00:52:11.400000,0 days 00:30:42,365304063,992.375,8,995.0,989.75,False,team_random_map,False,125283,9,random_map,normal,dark
megarandom,2025-01-14 20:12:18+00:00,0 days 00:23:17.400000,0 days 00:13:42,365349051,759.5,2,746.0,773.0,False,random_map,False,125283,6,random_map,normal,dark
land_nomad,2025-01-13 16:51:56+00:00,0 days 00:49:53.700000,0 days 00:29:21,365109919,1464.75,4,1563.5,1366.0,False,team_random_map,False,125283,7,random_map,normal,dark
arena,2025-01-17 13:12:34+00:00,0 days 00:48:10,0 days 00:28:20,365871364,945.75,8,962.25,929.25,False,team_random_map,False,125283,9,random_map,normal,dark
black_forest,2025-01-12 05:03:02+00:00,0 days 00:12:36.500000,0 days 00:07:25,364767721,1038.3333333333333,6,1031.3333333333333,1045.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark
arena,2025-01-13 03:38:32+00:00,0 days 00:36:05.800000,0 days 00:21:14,365022259,1352.5,8,1348.25,1356.75,False,team_random_map,False,125283,9,random_map,normal,dark
gold_rush,2025-01-12 16:27:39+00:00,0 days 00:54:47.800000,0 days 00:32:14,364882460,1300.25,8,1301.75,1298.75,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-14 01:48:58+00:00,0 days 00:11:38.700000,0 days 00:06:51,365206275,1538.0,2,1497.0,1579.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-12 05:33:25+00:00,0 days 00:41:30.500000,0 days 00:24:25,364772055,1258.0,4,1254.0,1262.0,False,team_random_map,False,125283,7,random_map,normal,dark
lowland,2025-01-15 17:07:52+00:00,0 days 00:49:28.200000,0 days 00:29:06,365512059,1345.5,2,1338.0,1353.0,False,random_map,True,125283,6,random_map,normal,dark
arabia,2025-01-14 11:31:47+00:00,0 days 00:32:06.100000,0 days 00:18:53,365264073,1106.0,2,1096.0,1116.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-14 14:34:29+00:00,0 days 00:11:35.300000,0 days 00:06:49,365288636,1231.0,2,1225.0,1237.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-12 14:32:18+00:00,0 days 00:34:00,0 days 00:20:00,364855039,838.8333333333334,6,833.0,844.6666666666666,False,team_random_map,False,125283,8,random_map,normal,dark
gold_rush,2025-01-17 05:40:36+00:00,0 days 00:10:06.900000,0 days 00:05:57,365828650,1767.625,8,1786.25,1749.0,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-13 19:34:58+00:00,0 days 00:42:53.800000,0 days 00:25:14,365140456,1194.5,2,1179.0,1210.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-13 13:09:55+00:00,0 days 00:00:32.300000,0 days 00:00:19,365074920,881.0,2,896.0,866.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-12 02:19:48+00:00,0 days 00:49:26.500000,0 days 00:29:05,364740517,1128.25,4,1108.0,1148.5,False,co_team_random_map,False,125283,67,random_map,normal,dark
arabia,2025-01-17 22:12:17+00:00,0 days 00:44:13.700000,0 days 00:26:01,365978749,1258.0,2,1250.0,1266.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-14 16:30:59+00:00,0 days 00:58:20.300000,0 days 00:34:19,365307076,1046.0,2,1044.0,1048.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-15 20:02:01+00:00,0 days 00:35:47.100000,0 days 00:21:03,365544564,1224.75,4,1235.0,1214.5,False,team_random_map,False,125283,7,random_map,normal,dark
arabia,2025-01-13 17:48:15+00:00,0 days 00:39:34.900000,0 days 00:23:17,365119343,877.0,4,870.0,884.0,False,team_random_map,False,125283,7,random_map,normal,dark
